customer_id,country,first_purchase_date,last_purchase_date,total_orders,active_months,total_products,total_quantity,lifetime_revenue,avg_order_value,recency_days
12346,United Kingdom,2009-12-14,2011-01-18,12,5,27,74285,77556.46,6463.04,325
12347,Iceland,2010-10-31,2011-12-07,8,8,126,3286,5633.32,704.16,2
12348,Finland,2010-09-27,2011-09-25,5,5,24,2704,1658.4,331.68,75
12349,Italy,2010-04-29,2011-11-21,3,3,137,1621,3678.69,1226.23,18
12350,Norway,2011-02-02,2011-02-02,1,1,16,196,294.4,294.4,310
12351,Unspecified,2010-11-29,2010-11-29,1,1,21,261,300.93,300.93,375
12352,Norway,2010-11-12,2011-11-03,9,5,68,714,1729.54,192.17,36
12353,Bahrain,2010-10-27,2011-05-19,2,2,23,212,406.76,203.38,204
12354,Spain,2011-04-21,2011-04-21,1,1,58,530,1079.4,1079.4,232
12355,Bahrain,2010-05-21,2011-05-09,2,2,35,543,947.61,473.8,214
12356,Portugal,2010-10-11,2011-11-17,6,5,103,3376,5611.73,935.29,22
12357,Switzerland,2010-11-16,2011-11-06,2,2,260,6586,17437.66,8718.83,33
12358,Austria,2009-12-08,2011-12-08,5,5,55,1068,3447.07,689.41,1
12359,Cyprus,2009-12-05,2011-10-13,10,8,305,2739,8873.39,887.34,57
12360,Austria,2010-02-22,2011-10-18,6,6,159,2443,3612.89,602.15,52
12361,Belgium,2010-01-26,2011-02-25,4,4,17,231,451.25,112.81,287
12362,Belgium,2011-02-17,2011-12-06,10,8,200,2197,4737.23,473.72,3
12363,Unspecified,2011-04-11,2011-08-22,2,2,23,408,552.0,276.0,109
12364,Belgium,2011-08-19,2011-12-02,4,4,69,1499,1208.1,302.02,7
12365,Cyprus,2011-02-21,2011-02-21,1,1,21,173,320.69,320.69,291
12366,Cyprus,2010-03-16,2010-03-16,1,1,3,296,500.24,500.24,633
12367,Denmark,2011-12-05,2011-12-05,1,1,10,172,150.9,150.9,4
12368,Cyprus,2010-03-21,2010-03-21,1,1,18,330,917.7,917.7,628
12369,Austria,2010-03-08,2010-10-22,3,3,89,1234,1511.15,503.72,413
