invoice,customer_id,country,invoice_date,invoice_date_only,invoice_year,invoice_month,invoice_yearmonth,day_of_week,line_item_count,distinct_products,total_quantity,order_revenue
489434,13085,United Kingdom,2009-12-01 07:45:00,2009-12-01,2009,12,2009-12,Tuesday,8,8,166,505.3
489435,13085,United Kingdom,2009-12-01 07:46:00,2009-12-01,2009,12,2009-12,Tuesday,4,4,60,145.8
489436,13078,United Kingdom,2009-12-01 09:06:00,2009-12-01,2009,12,2009-12,Tuesday,19,19,193,630.33
489437,15362,United Kingdom,2009-12-01 09:08:00,2009-12-01,2009,12,2009-12,Tuesday,23,23,145,310.75
489438,18102,United Kingdom,2009-12-01 09:24:00,2009-12-01,2009,12,2009-12,Tuesday,17,17,826,2286.24
489439,12682,France,2009-12-01 09:28:00,2009-12-01,2009,12,2009-12,Tuesday,18,18,216,372.3
489440,18087,United Kingdom,2009-12-01 09:43:00,2009-12-01,2009,12,2009-12,Tuesday,2,2,16,50.4
489441,18087,United Kingdom,2009-12-01 09:44:00,2009-12-01,2009,12,2009-12,Tuesday,4,4,102,344.34
489442,13635,United Kingdom,2009-12-01 09:46:00,2009-12-01,2009,12,2009-12,Tuesday,23,23,275,382.37
489443,14110,United Kingdom,2009-12-01 09:50:00,2009-12-01,2009,12,2009-12,Tuesday,7,7,120,285.06
489445,17519,United Kingdom,2009-12-01 09:57:00,2009-12-01,2009,12,2009-12,Tuesday,19,19,280,308.44
489446,13758,United Kingdom,2009-12-01 10:06:00,2009-12-01,2009,12,2009-12,Tuesday,27,27,382,996.1
489448,15413,United Kingdom,2009-12-01 10:18:00,2009-12-01,2009,12,2009-12,Tuesday,4,4,192,570.24
489450,16321,Australia,2009-12-01 10:36:00,2009-12-01,2009,12,2009-12,Tuesday,9,9,100,196.1
489460,16167,United Kingdom,2009-12-01 10:46:00,2009-12-01,2009,12,2009-12,Tuesday,15,15,977,485.79
489461,17865,United Kingdom,2009-12-01 10:49:00,2009-12-01,2009,12,2009-12,Tuesday,26,26,379,589.33
489462,17592,United Kingdom,2009-12-01 10:49:00,2009-12-01,2009,12,2009-12,Tuesday,13,13,38,148.3
489465,13767,United Kingdom,2009-12-01 10:52:00,2009-12-01,2009,12,2009-12,Tuesday,19,19,408,1197.8
489488,17238,United Kingdom,2009-12-01 10:59:00,2009-12-01,2009,12,2009-12,Tuesday,30,29,80,251.1
489505,15712,United Kingdom,2009-12-01 11:17:00,2009-12-01,2009,12,2009-12,Tuesday,10,10,64,255.5
489514,15311,United Kingdom,2009-12-01 11:21:00,2009-12-01,2009,12,2009-12,Tuesday,32,32,326,823.02
489517,16329,United Kingdom,2009-12-01 11:34:00,2009-12-01,2009,12,2009-12,Tuesday,30,28,114,250.06
489519,17700,United Kingdom,2009-12-01 11:37:00,2009-12-01,2009,12,2009-12,Tuesday,38,38,247,696.73
489520,14911,EIRE,2009-12-01 11:41:00,2009-12-01,2009,12,2009-12,Tuesday,30,30,293,733.63
489522,15998,United Kingdom,2009-12-01 11:45:00,2009-12-01,2009,12,2009-12,Tuesday,104,104,409,700.31
489523,12931,United Kingdom,2009-12-01 11:46:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,800,1160.0
489526,12533,Germany,2009-12-01 11:50:00,2009-12-01,2009,12,2009-12,Tuesday,43,43,478,821.92
489529,17984,United Kingdom,2009-12-01 11:51:00,2009-12-01,2009,12,2009-12,Tuesday,47,45,187,212.63
489531,14871,United Kingdom,2009-12-01 11:57:00,2009-12-01,2009,12,2009-12,Tuesday,14,14,54,145.0
489532,13394,United Kingdom,2009-12-01 11:58:00,2009-12-01,2009,12,2009-12,Tuesday,20,20,353,304.53
489533,16011,United Kingdom,2009-12-01 12:02:00,2009-12-01,2009,12,2009-12,Tuesday,20,19,60,181.5
489536,16393,United Kingdom,2009-12-01 12:13:00,2009-12-01,2009,12,2009-12,Tuesday,115,107,199,341.02
489537,14040,United Kingdom,2009-12-01 12:14:00,2009-12-01,2009,12,2009-12,Tuesday,59,58,250,633.33
489539,15061,United Kingdom,2009-12-01 12:18:00,2009-12-01,2009,12,2009-12,Tuesday,17,17,1598,2887.14
489540,12913,United Kingdom,2009-12-01 12:18:00,2009-12-01,2009,12,2009-12,Tuesday,5,5,188,537.96
489542,15061,United Kingdom,2009-12-01 12:19:00,2009-12-01,2009,12,2009-12,Tuesday,2,2,264,387.6
489544,14341,United Kingdom,2009-12-01 12:20:00,2009-12-01,2009,12,2009-12,Tuesday,14,14,226,281.82
489545,17804,United Kingdom,2009-12-01 12:22:00,2009-12-01,2009,12,2009-12,Tuesday,32,32,92,124.95
489546,14156,EIRE,2009-12-01 12:30:00,2009-12-01,2009,12,2009-12,Tuesday,33,33,212,584.5
489547,13599,United Kingdom,2009-12-01 12:30:00,2009-12-01,2009,12,2009-12,Tuesday,22,22,595,641.45
489550,14156,EIRE,2009-12-01 12:33:00,2009-12-01,2009,12,2009-12,Tuesday,23,23,232,482.3
489552,17063,United Kingdom,2009-12-01 12:36:00,2009-12-01,2009,12,2009-12,Tuesday,25,25,129,278.61
489556,15719,United Kingdom,2009-12-01 12:47:00,2009-12-01,2009,12,2009-12,Tuesday,58,56,174,377.15
489557,12490,France,2009-12-01 12:52:00,2009-12-01,2009,12,2009-12,Tuesday,20,20,438,531.94
489558,15793,United Kingdom,2009-12-01 12:54:00,2009-12-01,2009,12,2009-12,Tuesday,4,4,154,291.58
489559,17056,United Kingdom,2009-12-01 12:55:00,2009-12-01,2009,12,2009-12,Tuesday,8,8,26,128.6
489560,13526,United Kingdom,2009-12-01 12:56:00,2009-12-01,2009,12,2009-12,Tuesday,30,26,1585,859.1
489561,14654,United Kingdom,2009-12-01 12:57:00,2009-12-01,2009,12,2009-12,Tuesday,27,27,273,246.86
489562,17998,United Kingdom,2009-12-01 13:07:00,2009-12-01,2009,12,2009-12,Tuesday,39,39,107,229.6
