"period","total_orders","total_customers","total_revenue","avg_order_value","prev_month_revenue","mom_growth_pct","growth_label","cumulative_revenue"
"2009-12",1502,952,678029.57,451.42,,,Baseline,678029.57
"2010-01",963,702,533802.98,554.31,678029.57,-21.27,Decline,1211832.55
"2010-02",1093,771,497937.57,455.57,533802.98,-6.72,Decline,1709770.12
"2010-03",1509,1051,665973.67,441.33,497937.57,33.75,Strong Growth,2375743.79
"2010-04",1316,939,585149.93,444.64,665973.67,-12.14,Decline,2960893.72
"2010-05",1365,965,592734.13,434.24,585149.93,1.3,Growth,3553627.85
"2010-06",1482,1035,629540.45,424.79,592734.13,6.21,Growth,4183168.3
"2010-07",1362,924,581487.96,426.94,629540.45,-7.63,Decline,4764656.26
"2010-08",1276,910,594561.17,465.96,581487.96,2.25,Growth,5359217.43
"2010-09",1659,1136,805544.81,485.56,594561.17,35.49,Strong Growth,6164762.24
"2010-10",2108,1492,1011571.5,479.87,805544.81,25.58,Strong Growth,7176333.74
"2010-11",2570,1606,1155978.39,449.8,1011571.5,14.28,Growth,8332312.13
"2010-12",1394,884,873501.68,626.62,1155978.39,-24.44,Decline,9205813.81
"2011-01",983,739,562682.91,572.41,873501.68,-35.58,Decline,9768496.72
"2011-02",992,757,442293.59,445.86,562682.91,-21.4,Decline,10210790.31
"2011-03",1312,973,583143.85,444.47,442293.59,31.85,Strong Growth,10793934.16
"2011-04",1139,853,454440.88,398.98,583143.85,-22.07,Decline,11248375.04
"2011-05",1544,1054,659242.49,426.97,454440.88,45.07,Strong Growth,11907617.53
"2011-06",1390,990,653264.92,469.97,659242.49,-0.91,Decline,12560882.45
"2011-07",1321,946,591603.79,447.85,653264.92,-9.44,Decline,13152486.24
"2011-08",1267,933,635514.38,501.59,591603.79,7.42,Growth,13788000.62
"2011-09",1739,1259,938752.63,539.82,635514.38,47.72,Strong Growth,14726753.25
"2011-10",1903,1361,1002326.56,526.71,938752.63,6.77,Growth,15729079.81
"2011-11",2642,1660,1136534.0,430.18,1002326.56,13.39,Growth,16865613.81
"2011-12",776,614,512228.08,660.09,1136534.0,-54.93,Decline,17377841.89
