"customer_id","country","lifetime_revenue","total_orders","days_since_last_purchase","r_score","f_score","m_score","rfm_total_score","segment"
12482,Sweden,21941.72,27,576,5,5,5,15,Champions
17448,United Kingdom,14448.67,41,529,5,5,5,15,Champions
15369,United Kingdom,6251.26,11,492,5,5,5,15,Champions
12835,United Kingdom,5996.83,41,427,5,5,5,15,Champions
14249,United Kingdom,5400.46,12,410,5,5,5,15,Champions
14685,United Kingdom,4536.64,8,576,5,5,5,15,Champions
14648,United Kingdom,4463.39,15,416,5,5,5,15,Champions
15633,United Kingdom,4335.96,13,509,5,5,5,15,Champions
14025,United Kingdom,4057.9,8,464,5,5,5,15,Champions
13446,United Kingdom,3881.89,11,430,5,5,5,15,Champions
14590,United Kingdom,2993.37,20,424,5,5,5,15,Champions
12346,United Kingdom,77556.46,12,325,4,5,5,14,Champions
16754,United Kingdom,67502.47,29,372,4,5,5,14,Champions
17850,United Kingdom,56600.08,155,372,4,5,5,14,Champions
13093,United Kingdom,54943.65,55,275,4,5,5,14,Champions
13902,Denmark,34023.26,5,632,5,4,5,14,Champions
15808,United Kingdom,18133.3,21,306,4,5,5,14,Champions
13564,United Kingdom,16416.27,36,354,4,5,5,14,Champions
18087,United Kingdom,13908.72,16,290,4,5,5,14,Champions
15032,United Kingdom,13780.65,8,256,4,5,5,14,Champions
13952,United Kingdom,12823.52,14,217,4,5,5,14,Champions
14134,United Kingdom,11123.35,15,382,4,5,5,14,Champions
14828,United Kingdom,9839.46,13,196,4,5,5,14,Champions
17504,United Kingdom,9490.17,18,206,4,5,5,14,Champions
14063,United Kingdom,9471.5,7,686,5,4,5,14,Champions
17230,United Kingdom,9388.49,18,264,4,5,5,14,Champions
12755,Japan,9030.66,11,280,4,5,5,14,Champions
13715,United Kingdom,8425.69,17,281,4,5,5,14,Champions
14160,United Kingdom,8421.47,7,610,5,4,5,14,Champions
13206,United Kingdom,8308.19,13,400,4,5,5,14,Champions
18231,United Kingdom,6848.27,28,192,4,5,5,14,Champions
15413,United Kingdom,6798.72,5,691,5,4,5,14,Champions
13734,United Kingdom,6695.69,4,508,5,4,5,14,Champions
14154,United Kingdom,6460.7,8,239,4,5,5,14,Champions
13615,United Kingdom,6272.53,8,318,4,5,5,14,Champions
14081,United Kingdom,5291.09,10,302,4,5,5,14,Champions
17406,United Kingdom,4889.05,13,333,4,5,5,14,Champions
13659,United Kingdom,4884.68,12,205,4,5,5,14,Champions
13044,United Kingdom,4848.05,11,291,4,5,5,14,Champions
13958,United Kingdom,4709.23,8,379,4,5,5,14,Champions
16858,United Kingdom,4668.28,10,368,4,5,5,14,Champions
16125,United Kingdom,4581.7,14,367,4,5,5,14,Champions
17508,Greece,4579.23,8,280,4,5,5,14,Champions
14625,United Kingdom,4497.88,11,196,4,5,5,14,Champions
14740,United Kingdom,4161.06,11,197,4,5,5,14,Champions
17646,United Kingdom,4149.79,12,219,4,5,5,14,Champions
17307,United Kingdom,3999.89,11,395,4,5,5,14,Champions
13542,United Kingdom,3959.49,17,376,4,5,5,14,Champions
14465,United Kingdom,3925.85,11,246,4,5,5,14,Champions
14532,United Kingdom,3845.78,11,236,4,5,5,14,Champions
16636,United Kingdom,3802.04,4,438,5,4,5,14,Champions
15079,United Kingdom,3767.35,11,212,4,5,5,14,Champions
12872,United Kingdom,3662.49,12,326,4,5,5,14,Champions
14770,United Kingdom,3637.64,8,232,4,5,5,14,Champions
15222,United Kingdom,3550.91,11,318,4,5,5,14,Champions
16336,United Kingdom,3517.69,4,420,5,4,5,14,Champions
15538,United Kingdom,3358.4,6,537,5,4,5,14,Champions
16351,United Kingdom,3330.03,13,332,4,5,5,14,Champions
13214,United Kingdom,3264.23,7,417,5,4,5,14,Champions
15614,United Kingdom,3147.36,4,437,5,4,5,14,Champions
17145,United Kingdom,3120.91,4,512,5,4,5,14,Champions
13485,United Kingdom,3015.22,11,233,4,5,5,14,Champions
13963,United Kingdom,3011.87,17,308,4,5,5,14,Champions
16736,United Kingdom,2956.56,5,505,5,4,5,14,Champions
12986,United Kingdom,2729.84,10,428,5,5,4,14,Champions
15015,United Kingdom,2344.47,13,501,5,5,4,14,Champions
16742,United Kingdom,2334.97,13,492,5,5,4,14,Champions
16197,United Kingdom,2016.71,9,469,5,5,4,14,Champions
15013,United Kingdom,1610.82,10,487,5,5,4,14,Champions
15751,United Kingdom,1380.44,11,460,5,5,4,14,Champions
18251,United Kingdom,26278.86,9,87,3,5,5,13,Loyal Customers
13802,United Kingdom,26259.11,19,138,3,5,5,13,Loyal Customers
12939,United Kingdom,25264.8,20,64,3,5,5,13,Loyal Customers
18008,United Kingdom,19759.08,23,70,3,5,5,13,Loyal Customers
14952,United Kingdom,17629.35,32,59,3,5,5,13,Loyal Customers
16652,United Kingdom,17550.39,16,58,3,5,5,13,Loyal Customers
15523,United Kingdom,17259.19,16,84,3,5,5,13,Loyal Customers
13027,United Kingdom,17239.2,19,113,3,5,5,13,Loyal Customers
16553,United Kingdom,16584.01,33,163,3,5,5,13,Loyal Customers
16180,United Kingdom,16249.87,13,100,3,5,5,13,Loyal Customers
12980,United Kingdom,16245.78,21,157,3,5,5,13,Loyal Customers
15768,United Kingdom,15308.89,34,115,3,5,5,13,Loyal Customers
17589,United Kingdom,13806.27,18,60,3,5,5,13,Loyal Customers
14045,United Kingdom,11313.03,16,109,3,5,5,13,Loyal Customers
14016,EIRE,11303.41,11,161,3,5,5,13,Loyal Customers
15874,United Kingdom,11284.76,21,63,3,5,5,13,Loyal Customers
14028,United Kingdom,10396.5,3,550,5,3,5,13,Loyal Customers
16984,United Kingdom,10350.53,9,88,3,5,5,13,Loyal Customers
16182,United Kingdom,9971.65,9,72,3,5,5,13,Loyal Customers
14101,United Kingdom,9961.93,13,73,3,5,5,13,Loyal Customers
18260,United Kingdom,9947.26,23,172,3,5,5,13,Loyal Customers
14091,United Kingdom,9530.08,2,654,5,3,5,13,Loyal Customers
14439,Greece,9443.04,5,319,4,4,5,13,Champions
16550,United Kingdom,9362.34,18,108,3,5,5,13,Loyal Customers
13162,United Kingdom,9275.49,16,122,3,5,5,13,Loyal Customers
15260,United Kingdom,9188.23,25,100,3,5,5,13,Loyal Customers
16709,United Kingdom,9056.01,14,84,3,5,5,13,Loyal Customers
15939,United Kingdom,9004.84,15,89,3,5,5,13,Loyal Customers
13555,United Kingdom,8891.84,13,73,3,5,5,13,Loyal Customers
15281,United Kingdom,8543.57,16,58,3,5,5,13,Loyal Customers
12637,France,8085.81,12,67,3,5,5,13,Loyal Customers
16556,United Kingdom,8012.58,17,66,3,5,5,13,Loyal Customers
13869,United Kingdom,7996.87,10,123,3,5,5,13,Loyal Customers
17085,United Kingdom,7839.27,28,123,3,5,5,13,Loyal Customers
12643,France,7803.82,11,128,3,5,5,13,Loyal Customers
17409,United Kingdom,7793.51,10,184,3,5,5,13,Loyal Customers
14175,United Kingdom,7678.88,8,59,3,5,5,13,Loyal Customers
13141,United Kingdom,7656.08,17,84,3,5,5,13,Loyal Customers
15299,United Kingdom,7391.54,9,67,3,5,5,13,Loyal Customers
13082,United Kingdom,7335.75,21,126,3,5,5,13,Loyal Customers
16745,United Kingdom,7180.7,17,86,3,5,5,13,Loyal Customers
13552,United Kingdom,6948.92,22,66,3,5,5,13,Loyal Customers
16456,United Kingdom,6788.34,13,99,3,5,5,13,Loyal Customers
15321,United Kingdom,6709.73,12,70,3,5,5,13,Loyal Customers
14844,United Kingdom,6702.43,10,63,3,5,5,13,Loyal Customers
14461,United Kingdom,6676.52,13,148,3,5,5,13,Loyal Customers
15674,United Kingdom,6613.52,12,73,3,5,5,13,Loyal Customers
17819,United Kingdom,6612.52,12,71,3,5,5,13,Loyal Customers
12836,United Kingdom,6559.73,15,59,3,5,5,13,Loyal Customers
15332,Lithuania,6553.74,6,366,4,4,5,13,Champions
12823,United Kingdom,6501.5,18,74,3,5,5,13,Loyal Customers
13317,United Kingdom,6486.09,19,66,3,5,5,13,Loyal Customers
12843,United Kingdom,6461.87,28,65,3,5,5,13,Loyal Customers
18094,United Kingdom,6391.52,13,81,3,5,5,13,Loyal Customers
17873,United Kingdom,6340.9,18,80,3,5,5,13,Loyal Customers
16735,United Kingdom,6217.41,14,78,3,5,5,13,Loyal Customers
15673,United Kingdom,6204.32,9,88,3,5,5,13,Loyal Customers
14852,United Kingdom,6132.43,18,58,3,5,5,13,Loyal Customers
13935,United Kingdom,6116.92,3,596,5,3,5,13,Loyal Customers
18178,United Kingdom,6103.74,11,128,3,5,5,13,Loyal Customers
15372,United Kingdom,6017.06,8,137,3,5,5,13,Loyal Customers
14105,United Kingdom,5988.83,5,239,4,4,5,13,Champions
17457,United Kingdom,5984.81,14,126,3,5,5,13,Loyal Customers
14535,United Kingdom,5961.89,9,60,3,5,5,13,Loyal Customers
14918,United Kingdom,5955.81,9,115,3,5,5,13,Loyal Customers
14257,United Kingdom,5954.45,9,64,3,5,5,13,Loyal Customers
14210,United Kingdom,5861.52,16,105,3,5,5,13,Loyal Customers
17146,United Kingdom,5852.64,13,105,3,5,5,13,Loyal Customers
17863,United Kingdom,5745.2,12,59,3,5,5,13,Loyal Customers
16316,United Kingdom,5744.91,13,64,3,5,5,13,Loyal Customers
13771,United Kingdom,5728.82,9,64,3,5,5,13,Loyal Customers
13901,United Kingdom,5676.34,15,72,3,5,5,13,Loyal Customers
13722,United Kingdom,5635.41,10,131,3,5,5,13,Loyal Customers
13842,United Kingdom,5629.91,18,58,3,5,5,13,Loyal Customers
16546,United Kingdom,5606.47,5,290,4,4,5,13,Champions
17204,United Kingdom,5504.69,9,175,3,5,5,13,Loyal Customers
13593,United Kingdom,5493.29,14,108,3,5,5,13,Loyal Customers
14442,Channel Islands,5367.02,7,204,4,4,5,13,Champions
15641,United Kingdom,5345.55,12,105,3,5,5,13,Loyal Customers
13931,United Kingdom,5257.38,11,95,3,5,5,13,Loyal Customers
17061,United Kingdom,5232.23,11,73,3,5,5,13,Loyal Customers
15606,United Kingdom,5230.99,17,61,3,5,5,13,Loyal Customers
15812,United Kingdom,5201.47,12,107,3,5,5,13,Loyal Customers
16919,United Kingdom,5108.01,24,156,3,5,5,13,Loyal Customers
14307,United Kingdom,5071.03,10,88,3,5,5,13,Loyal Customers
12455,Cyprus,5066.99,5,296,4,4,5,13,Champions
17802,United Kingdom,5046.42,10,82,3,5,5,13,Loyal Customers
14970,United Kingdom,4919.35,12,68,3,5,5,13,Loyal Customers
15379,United Kingdom,4877.84,8,169,3,5,5,13,Loyal Customers
13562,United Kingdom,4838.18,8,81,3,5,5,13,Loyal Customers
15581,United Kingdom,4777.5,34,156,3,5,5,13,Loyal Customers
15002,United Kingdom,4769.73,9,115,3,5,5,13,Loyal Customers
17829,United Arab Emirates,4756.74,5,298,4,4,5,13,Champions
14235,United Kingdom,4717.99,9,75,3,5,5,13,Loyal Customers
15410,United Kingdom,4685.72,10,84,3,5,5,13,Loyal Customers
12625,Germany,4678.88,4,211,4,4,5,13,Champions
17050,United Kingdom,4648.59,11,96,3,5,5,13,Loyal Customers
